id_mensaje,texto_crudo,categoria,urgencia
0,FUEGO EN CONTENEDOR en c/ Colón nº32!! ruego policía o bomberos ya porque se pasa a los coches,Residuos_Limpieza,Alta
1,"Han tirado jeringuillas y restos médicos al lado del parque de avd. Blasco Ibáñez, peligro para niños",Residuos_Limpieza,Alta
2,"Gato muerto atropellado en plaza del ayuntamiento desde ayer por la tarde, huele fatal",Residuos_Limpieza,Alta
3,"Contenedor volcado en medio de calle San Vicente, bloquea el paso",Residuos_Limpieza,Alta
4,Líquido raro saliendo de un camión de basura en Gran Vía Marqués del Turia,Residuos_Limpieza,Alta
5,Ratas enormes saliendo de un solar abandonado en calle Quart,Residuos_Limpieza,Alta
6,Muebles y colchón tirados en la acera de calle Colón desde el sábado,Residuos_Limpieza,Media
7,Basura acumulada fuera de los contenedores en avenida del Cid,Residuos_Limpieza,Media
8,Los contenedores de orgánico están rotos y no se pueden abrir,Residuos_Limpieza,Media
9,Papeleras de plaza de la Reina a rebosar todo el fin de semana,Residuos_Limpieza,Media
10,Huele muy mal cuando pasa el camión de la basura por calle Caballeros,Residuos_Limpieza,Media
11,Manchas de grasa en el suelo de avenida de Francia desde hace días,Residuos_Limpieza,Media
12,¿Dónde puedo reciclar pilas usadas cerca de Xàtiva?,Residuos_Limpieza,Baja
13,Quiero saber el horario del ecoparque móvil de Ruzafa,Residuos_Limpieza,Baja
14,Sugerencia: poner más contenedores de plástico en calle Sagunto,Residuos_Limpieza,Baja
15,¿A qué hora se puede tirar la basura legalmente?,Residuos_Limpieza,Baja
16,Consulta sobre recogida de trastos viejos en calle Cuba,Residuos_Limpieza,Baja
17,Felicitaciones a los barrenderos de la zona de calle Pelayo,Residuos_Limpieza,Baja
18,Semáforo roto en cruce de avenida Blasco Ibáñez con calle Rumiñahui,Movilidad_Transporte,Alta
19,Socavón enorme en carril bus de avenida del Cid,Movilidad_Transporte,Alta
20,Se ha caído una señal de dirección prohibida en calle San Vicente,Movilidad_Transporte,Alta
21,"Aceite en la calzada en la rotonda de plaza España, varias motos resbalando",Movilidad_Transporte,Alta
22,Atropello por falta de visibilidad en paso de peatones de calle Sagunto,Movilidad_Transporte,Alta
23,Barrera del paso a nivel bajada desde hace media hora y no pasa ningún tren,Movilidad_Transporte,Alta
24,El bus 92 de EMT lleva 45 minutos de retraso,Movilidad_Transporte,Media
25,Obras sin señalizar junto al carril bici de avenida Francia,Movilidad_Transporte,Media
26,Coches en doble fila impiden pasar al autobús,Movilidad_Transporte,Media
27,Patinetes eléctricos circulando por la acera a gran velocidad,Movilidad_Transporte,Media
28,La app de EMT no funciona desde ayer,Movilidad_Transporte,Media
